Pool,Pool Notes,Application,Window,Foreground Begin (Unix Time),Foreground End (Unix Time),Total Begin (Unix Time),Total End (Unix Time)
,,TextEdit,Untitled 8,0.00,0.00,"1,493,489,428.71","1,493,489,431.30"
,,TextEdit,tools.rtf,0.00,0.00,"1,493,489,428.71","1,493,489,431.30"
,,LibreOffice,,0.00,0.00,"1,493,489,428.71","1,493,489,431.30"
Terminal,,,,0.00,0.00,"1,493,489,428.71","1,493,489,431.30"
Terminal,,Terminal,,0.00,0.00,"1,493,489,428.71","1,493,489,431.30"
Finder,,,,0.00,0.00,"1,493,489,428.71","1,493,489,431.30"
Finder,,Finder,,0.00,0.00,"1,493,489,428.71","1,493,489,431.30"
Paper,,,,0.00,0.00,"1,493,489,428.71","1,493,489,431.30"
Paper,,Finder,,0.00,0.00,"1,493,489,428.71","1,493,489,431.30"
Paper,,Google Chrome,,0.00,0.00,"1,493,489,428.71","1,493,489,431.30"
TextEdit,,,,0.00,0.00,"1,493,489,428.71","1,493,489,431.30"
TextEdit,,TextEdit,,0.00,0.00,"1,493,489,428.71","1,493,489,431.30"
LibreOffice,,,,0.00,0.00,"1,493,489,428.71","1,493,489,431.30"
LibreOffice,,LibreOffice,,0.00,0.00,"1,493,489,428.71","1,493,489,431.30"
,,Scrivener,,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
,,Scrivener,"Version Control, Social Systems, and Performance - draft 4",0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
,,Script Editor,,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
,,Script Editor,Untitled,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
,,Script Editor,Untitled 2,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
,,Google Chrome,,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
,,Google Chrome,Can't make {alias HD:My:FileName:} into type file. | Official Apple Support Communities,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
,,Google Chrome,michaelpalumbo/AppTracking: Records the front most application title to a log,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
,,Terminal,,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
,,Terminal,mp — bash — 80×24,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
,,Terminal,paper — bash — 80×24,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
,,Finder,,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
,,Finder,Applications,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
,,TextEdit,,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
,,TextEdit,Untitled 3,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
,,TextEdit,plan for using this git.rtf,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
,,TextEdit,Untitled 5,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
,,TextEdit,Untitled 7,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
,,TextEdit,proposal.txt,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
,,TextEdit,Untitled 9,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
,,TextEdit,Untitled 11,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
,,TextEdit,Untitled 10,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
,,TextEdit,Untitled 4,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
,,TextEdit,Untitled,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
,,TextEdit,Untitled 6,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
,,TextEdit,Untitled 8,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
,,TextEdit,tools.rtf,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
,,LibreOffice,,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
Terminal,,,,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
Terminal,,Terminal,,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
Finder,,,,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
Finder,,Finder,,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
Paper,,,,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
Paper,,Terminal,,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
Paper,,Finder,,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
Paper,,Google Chrome,,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
TextEdit,,,,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
TextEdit,,TextEdit,,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
LibreOffice,,,,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
LibreOffice,,LibreOffice,,0.00,0.00,"1,493,489,432.29","1,493,489,435.81"
,,Scrivener,,0.00,0.00,"1,493,489,436.80","1,493,489,911.54"
,,Scrivener,"Version Control, Social Systems, and Performance - draft 4",0.00,0.00,"1,493,489,436.80","1,493,489,571.46"
,,Script Editor,,0.00,0.00,"1,493,489,436.80","1,493,489,443.76"
,,Script Editor,Untitled,0.00,0.00,"1,493,489,436.80","1,493,489,443.76"
,,Script Editor,Untitled 2,0.00,0.00,"1,493,489,436.80","1,493,489,443.76"
,,Google Chrome,,0.00,0.00,"1,493,489,436.80","1,493,489,911.54"
,,Google Chrome,Can't make {alias HD:My:FileName:} into type file. | Official Apple Support Communities,0.00,0.00,"1,493,489,436.80","1,493,489,571.46"
,,Google Chrome,michaelpalumbo/AppTracking: Records the front most application title to a log,0.00,0.00,"1,493,489,436.80","1,493,489,571.46"
,,Terminal,,0.00,0.00,"1,493,489,436.80","1,493,489,911.54"
,,Terminal,mp — bash — 80×24,0.00,0.00,"1,493,489,436.80","1,493,489,571.46"
,,Terminal,paper — bash — 80×24,0.00,0.00,"1,493,489,436.80","1,493,489,571.46"
,,Finder,,0.00,0.00,"1,493,489,436.80","1,493,489,911.54"
,,Finder,Applications,0.00,0.00,"1,493,489,436.80","1,493,489,571.46"
,,TextEdit,,0.00,0.00,"1,493,489,436.80","1,493,489,911.54"
,,TextEdit,Untitled 3,0.00,0.00,"1,493,489,436.80","1,493,489,571.46"
,,TextEdit,plan for using this git.rtf,0.00,0.00,"1,493,489,436.80","1,493,489,571.46"
,,TextEdit,Untitled 5,0.00,0.00,"1,493,489,436.80","1,493,489,571.46"
,,TextEdit,Untitled 7,0.00,0.00,"1,493,489,436.80","1,493,489,571.46"
,,TextEdit,proposal.txt,0.00,0.00,"1,493,489,436.80","1,493,489,571.46"
,,TextEdit,Untitled 9,0.00,0.00,"1,493,489,436.80","1,493,489,571.46"
,,TextEdit,Untitled 11,0.00,0.00,"1,493,489,436.80","1,493,489,571.46"
,,TextEdit,Untitled 10,0.00,0.00,"1,493,489,436.80","1,493,489,571.46"
,,TextEdit,Untitled 4,0.00,0.00,"1,493,489,436.80","1,493,489,571.46"
,,TextEdit,Untitled,0.00,0.00,"1,493,489,436.80","1,493,489,571.46"
,,TextEdit,Untitled 6,0.00,0.00,"1,493,489,436.80","1,493,489,571.46"
,,TextEdit,Untitled 8,0.00,0.00,"1,493,489,436.80","1,493,489,571.46"
,,TextEdit,tools.rtf,0.00,0.00,"1,493,489,436.80","1,493,489,571.46"
,,LibreOffice,,0.00,0.00,"1,493,489,436.80","1,493,489,911.54"
Terminal,,,,0.00,0.00,"1,493,489,436.80","1,493,489,911.54"
Terminal,,Terminal,,0.00,0.00,"1,493,489,436.80","1,493,489,911.54"
Finder,,,,0.00,0.00,"1,493,489,436.80","1,493,489,911.54"
Finder,,Finder,,0.00,0.00,"1,493,489,436.80","1,493,489,911.54"
Paper,,,,0.00,0.00,"1,493,489,436.80","1,493,489,911.54"
Paper,,Terminal,,0.00,0.00,"1,493,489,436.80","1,493,489,911.54"
Paper,,Finder,,0.00,0.00,"1,493,489,436.80","1,493,489,911.54"
Paper,,Google Chrome,,0.00,0.00,"1,493,489,436.80","1,493,489,911.54"
Paper,,TextEdit,,0.00,0.00,"1,493,489,436.80","1,493,489,911.54"
TextEdit,,,,0.00,0.00,"1,493,489,436.80","1,493,489,911.54"
TextEdit,,TextEdit,,0.00,0.00,"1,493,489,436.80","1,493,489,911.54"
LibreOffice,,,,0.00,0.00,"1,493,489,436.80","1,493,489,911.54"
LibreOffice,,LibreOffice,,0.00,0.00,"1,493,489,436.80","1,493,489,911.54"
,,TextEdit,Untitled 11,0.00,0.00,"1,493,489,620.07","1,493,489,911.54"
,,TextEdit,Untitled 3,0.00,0.00,"1,493,489,621.05","1,493,489,911.54"
,,TextEdit,plan for using this git.rtf,0.00,0.00,"1,493,489,621.05","1,493,489,911.54"
,,TextEdit,Untitled 5,0.00,0.00,"1,493,489,621.05","1,493,489,911.54"
,,TextEdit,Untitled 7,0.00,0.00,"1,493,489,621.05","1,493,489,911.54"
,,TextEdit,proposal.txt,0.00,0.00,"1,493,489,621.05","1,493,489,911.54"
,,TextEdit,Untitled 9,0.00,0.00,"1,493,489,621.05","1,493,489,911.54"
,,TextEdit,Untitled 10,0.00,0.00,"1,493,489,621.05","1,493,489,911.54"
,,TextEdit,Untitled 4,0.00,0.00,"1,493,489,621.05","1,493,489,911.54"
,,TextEdit,Untitled,0.00,0.00,"1,493,489,621.05","1,493,489,911.54"
,,TextEdit,Untitled 6,0.00,0.00,"1,493,489,621.05","1,493,489,911.54"
,,TextEdit,Untitled 8,0.00,0.00,"1,493,489,621.05","1,493,489,911.54"
,,TextEdit,tools.rtf,0.00,0.00,"1,493,489,621.05","1,493,489,911.54"
,,Google Chrome,Can't make {alias HD:My:FileName:} into type file. | Official Apple Support Communities,0.00,0.00,"1,493,489,624.02","1,493,489,911.54"
,,Google Chrome,An Intro to Git and GitHub for Beginners (Tutorial),0.00,0.00,"1,493,489,625.01","1,493,489,815.27"
,,Terminal,mp — bash — 80×24,0.00,0.00,"1,493,489,637.89","1,493,489,640.86"
,,Terminal,paper — bash — 80×24,0.00,0.00,"1,493,489,637.89","1,493,489,911.54"
,,Finder,Applications,0.00,0.00,"1,493,489,655.69","1,493,489,656.68"
,,Finder,mp,0.00,0.00,"1,493,489,657.67","1,493,489,664.60"
,,Finder,paper,0.00,0.00,"1,493,489,665.59","1,493,489,669.55"
,,Finder,reports,0.00,0.00,"1,493,489,670.54","1,493,489,802.40"
,,Finder,Copy,0.00,0.00,"1,493,489,699.51","1,493,489,700.50"
,,Finder,mp,0.00,0.00,"1,493,489,762.84","1,493,489,767.77"
,,Finder,paper,0.00,0.00,"1,493,489,768.77","1,493,489,769.75"
,,Finder,paper,0.00,0.00,"1,493,489,772.72","1,493,489,911.54"
,,Google Chrome,New Tab,0.00,0.00,"1,493,489,816.26","1,493,489,821.20"
,,Google Chrome,git branches in finder - Google Search,0.00,0.00,"1,493,489,822.19","1,493,489,825.19"
,,Google Chrome,Don't get Git branches displayed in Finder? | Treehouse Community,0.00,0.00,"1,493,489,826.18","1,493,489,850.90"
,,Google Chrome,An Intro to Git and GitHub for Beginners (Tutorial),0.00,0.00,"1,493,489,851.89","1,493,489,911.54"
,,Finder,reports,0.00,0.00,"1,493,489,895.43","1,493,489,896.42"
